feature1,feature2,spearman_r,p_value
AL_218,AL_230,0.6034,0.0
AL_208,AL_331,0.6034,0.0
AL_263,AL_331,0.6034,0.0
AL_257,AL_266,0.6034,0.0
AL_256,AL_331,0.6034,0.0
AL_195,AL_331,0.6034,0.0
AL_276,AL_331,0.6034,0.0
AL_272,AL_331,0.6034,0.0
AL_84,AL_95,0.6033,0.0
AL_109,AL_186,0.6033,0.0
AL_103,AL_260,0.6033,0.0
AL_199,AL_246,0.6032,0.0
AL_140,AL_144,0.6032,0.0
AL_131,AL_144,0.6032,0.0
AL_137,AL_144,0.6032,0.0
AL_213,AL_230,0.6032,0.0
AL_144,AL_158,0.6032,0.0
AL_144,AL_179,0.6032,0.0
AL_144,AL_182,0.6032,0.0
AL_144,AL_155,0.6032,0.0
AL_144,AL_176,0.6032,0.0
AL_144,AL_173,0.6032,0.0
AL_144,AL_170,0.6032,0.0
AL_218,AL_243,0.6032,0.0
AL_144,AL_167,0.6032,0.0
AL_144,AL_146,0.6032,0.0
AL_144,AL_164,0.6032,0.0
AL_144,AL_149,0.6032,0.0
AL_144,AL_152,0.6032,0.0
AL_134,AL_144,0.6032,0.0
AL_144,AL_161,0.6032,0.0
AL_143,AL_144,0.6032,0.0
AL_128,AL_144,0.6032,0.0
AL_119,AL_144,0.6032,0.0
AL_116,AL_144,0.6032,0.0
AL_122,AL_144,0.6032,0.0
AL_107,AL_144,0.6032,0.0
AL_110,AL_144,0.6032,0.0
AL_113,AL_144,0.6032,0.0
AL_101,AL_144,0.6032,0.0
AL_125,AL_144,0.6032,0.0
AL_104,AL_144,0.6032,0.0
AL_238,AL_252,0.6031,0.0
AL_262,AL_289,0.6031,0.0
AL_178,AL_279,0.6031,0.0
AL_103,AL_251,0.6031,0.0
AL_202,AL_252,0.6031,0.0
AL_80,AL_96,0.6031,0.0
AL_226,AL_298,0.6031,0.0
AL_258,AL_260,0.6031,0.0
AL_238,AL_283,0.6031,0.0
AL_260,AL_264,0.603,0.0
AL_247,AL_264,0.603,0.0
AL_192,AL_255,0.603,0.0
AL_149,AL_227,0.6029,0.0
AL_116,AL_267,0.6029,0.0
AL_134,AL_227,0.6029,0.0
AL_161,AL_240,0.6029,0.0
AL_107,AL_227,0.6029,0.0
AL_155,AL_240,0.6029,0.0
AL_149,AL_240,0.6029,0.0
AL_161,AL_227,0.6029,0.0
AL_134,AL_240,0.6029,0.0
AL_116,AL_269,0.6029,0.0
AL_155,AL_269,0.6029,0.0
AL_149,AL_204,0.6029,0.0
AL_119,AL_240,0.6029,0.0
AL_194,AL_264,0.6029,0.0
AL_110,AL_269,0.6029,0.0
AL_149,AL_200,0.6029,0.0
AL_134,AL_204,0.6029,0.0
AL_182,AL_200,0.6029,0.0
AL_152,AL_240,0.6029,0.0
AL_182,AL_204,0.6029,0.0
AL_149,AL_267,0.6029,0.0
AL_149,AL_269,0.6029,0.0
AL_134,AL_200,0.6029,0.0
AL_152,AL_227,0.6029,0.0
AL_152,AL_204,0.6029,0.0
AL_152,AL_200,0.6029,0.0
AL_152,AL_267,0.6029,0.0
AL_107,AL_269,0.6029,0.0
AL_107,AL_204,0.6029,0.0
AL_128,AL_200,0.6029,0.0
AL_176,AL_204,0.6029,0.0
AL_128,AL_227,0.6029,0.0
AL_176,AL_200,0.6029,0.0
AL_161,AL_204,0.6029,0.0
AL_232,AL_239,0.6029,0.0
AL_113,AL_227,0.6029,0.0
AL_119,AL_267,0.6029,0.0
AL_128,AL_240,0.6029,0.0
AL_107,AL_240,0.6029,0.0
AL_119,AL_227,0.6029,0.0
AL_119,AL_269,0.6029,0.0
AL_113,AL_240,0.6029,0.0
AL_152,AL_269,0.6029,0.0
AL_113,AL_267,0.6029,0.0
AL_128,AL_267,0.6029,0.0
AL_128,AL_269,0.6029,0.0
AL_113,AL_269,0.6029,0.0
AL_155,AL_267,0.6029,0.0
AL_128,AL_204,0.6029,0.0
AL_107,AL_200,0.6029,0.0
AL_101,AL_200,0.6029,0.0
AL_101,AL_204,0.6029,0.0
AL_161,AL_200,0.6029,0.0
AL_107,AL_267,0.6029,0.0
AL_134,AL_267,0.6029,0.0
AL_134,AL_269,0.6029,0.0
AL_167,AL_269,0.6029,0.0
AL_116,AL_240,0.6029,0.0
AL_143,AL_200,0.6029,0.0
AL_101,AL_267,0.6029,0.0
AL_158,AL_240,0.6029,0.0
AL_140,AL_204,0.6029,0.0
AL_101,AL_269,0.6029,0.0
AL_182,AL_267,0.6029,0.0
AL_182,AL_269,0.6029,0.0
AL_173,AL_240,0.6029,0.0
AL_140,AL_227,0.6029,0.0
AL_140,AL_240,0.6029,0.0
AL_219,AL_264,0.6029,0.0
AL_158,AL_267,0.6029,0.0
AL_158,AL_269,0.6029,0.0
AL_173,AL_269,0.6029,0.0
AL_140,AL_267,0.6029,0.0
AL_173,AL_267,0.6029,0.0
AL_140,AL_269,0.6029,0.0
AL_122,AL_269,0.6029,0.0
AL_131,AL_269,0.6029,0.0
AL_131,AL_267,0.6029,0.0
AL_122,AL_267,0.6029,0.0
AL_122,AL_200,0.6029,0.0
AL_131,AL_240,0.6029,0.0
AL_122,AL_204,0.6029,0.0
AL_131,AL_227,0.6029,0.0
AL_131,AL_204,0.6029,0.0
AL_131,AL_200,0.6029,0.0
AL_122,AL_227,0.6029,0.0
AL_104,AL_269,0.6029,0.0
AL_143,AL_204,0.6029,0.0
AL_116,AL_227,0.6029,0.0
AL_104,AL_267,0.6029,0.0
AL_116,AL_204,0.6029,0.0
AL_116,AL_200,0.6029,0.0
AL_119,AL_204,0.6029,0.0
AL_167,AL_267,0.6029,0.0
AL_182,AL_227,0.6029,0.0
AL_173,AL_200,0.6029,0.0
AL_173,AL_204,0.6029,0.0
AL_167,AL_240,0.6029,0.0
AL_167,AL_227,0.6029,0.0
AL_104,AL_200,0.6029,0.0
AL_167,AL_204,0.6029,0.0
AL_167,AL_200,0.6029,0.0
AL_104,AL_204,0.6029,0.0
AL_101,AL_227,0.6029,0.0
AL_104,AL_227,0.6029,0.0
AL_143,AL_269,0.6029,0.0
AL_143,AL_267,0.6029,0.0
AL_104,AL_240,0.6029,0.0
AL_158,AL_200,0.6029,0.0
AL_182,AL_240,0.6029,0.0
AL_101,AL_240,0.6029,0.0
AL_143,AL_240,0.6029,0.0
AL_158,AL_204,0.6029,0.0
AL_173,AL_227,0.6029,0.0
AL_143,AL_227,0.6029,0.0
AL_158,AL_227,0.6029,0.0
AL_140,AL_200,0.6029,0.0
AL_155,AL_227,0.6029,0.0
AL_110,AL_267,0.6029,0.0
AL_146,AL_227,0.6029,0.0
AL_125,AL_269,0.6029,0.0
AL_110,AL_204,0.6029,0.0
AL_170,AL_227,0.6029,0.0
AL_179,AL_200,0.6029,0.0
AL_179,AL_204,0.6029,0.0
AL_164,AL_267,0.6029,0.0
AL_164,AL_269,0.6029,0.0
AL_110,AL_227,0.6029,0.0
AL_176,AL_227,0.6029,0.0
AL_179,AL_227,0.6029,0.0
AL_125,AL_267,0.6029,0.0
AL_179,AL_269,0.6029,0.0
AL_170,AL_204,0.6029,0.0
AL_179,AL_240,0.6029,0.0
AL_170,AL_200,0.6029,0.0
AL_110,AL_240,0.6029,0.0
AL_125,AL_240,0.6029,0.0
AL_125,AL_227,0.6029,0.0
AL_155,AL_200,0.6029,0.0
AL_113,AL_200,0.6029,0.0
AL_179,AL_267,0.6029,0.0
AL_110,AL_200,0.6029,0.0
AL_170,AL_240,0.6029,0.0
AL_146,AL_200,0.6029,0.0
AL_146,AL_204,0.6029,0.0
AL_137,AL_200,0.6029,0.0
AL_137,AL_204,0.6029,0.0
AL_137,AL_227,0.6029,0.0
AL_137,AL_240,0.6029,0.0
AL_164,AL_200,0.6029,0.0
AL_176,AL_269,0.6029,0.0
AL_176,AL_267,0.6029,0.0
AL_164,AL_204,0.6029,0.0
AL_137,AL_267,0.6029,0.0
AL_146,AL_269,0.6029,0.0
AL_146,AL_267,0.6029,0.0
AL_164,AL_227,0.6029,0.0
AL_137,AL_269,0.6029,0.0
AL_170,AL_269,0.6029,0.0
AL_146,AL_240,0.6029,0.0
AL_170,AL_267,0.6029,0.0
AL_164,AL_240,0.6029,0.0
AL_176,AL_240,0.6029,0.0
AL_77,AL_211,0.6029,0.0
AL_113,AL_204,0.6029,0.0
AL_122,AL_240,0.6029,0.0
AL_125,AL_200,0.6029,0.0
AL_125,AL_204,0.6029,0.0
AL_119,AL_200,0.6029,0.0
AL_155,AL_204,0.6029,0.0
AL_161,AL_269,0.6029,0.0
AL_161,AL_267,0.6029,0.0
AL_77,AL_204,0.6028,0.0
AL_251,AL_289,0.6028,0.0
AL_77,AL_269,0.6028,0.0
AL_77,AL_240,0.6028,0.0
AL_77,AL_200,0.6028,0.0
AL_239,AL_257,0.6028,0.0
AL_77,AL_227,0.6028,0.0
AL_188,AL_273,0.6028,0.0
AL_93,AL_94,0.6028,0.0
AL_77,AL_267,0.6028,0.0
AL_188,AL_232,0.6027,0.0
AL_190,AL_298,0.6027,0.0
AL_107,AL_111,0.6026,0.0
AL_111,AL_167,0.6026,0.0
AL_111,AL_119,0.6026,0.0
AL_111,AL_173,0.6026,0.0
AL_213,AL_239,0.6026,0.0
AL_111,AL_176,0.6026,0.0
AL_111,AL_122,0.6026,0.0
AL_213,AL_266,0.6026,0.0
AL_111,AL_179,0.6026,0.0
AL_110,AL_111,0.6026,0.0
AL_111,AL_182,0.6026,0.0
AL_111,AL_164,0.6026,0.0
AL_111,AL_170,0.6026,0.0
AL_111,AL_161,0.6026,0.0
AL_111,AL_158,0.6026,0.0
AL_111,AL_152,0.6026,0.0
AL_101,AL_111,0.6026,0.0
AL_104,AL_111,0.6026,0.0
AL_111,AL_113,0.6026,0.0
AL_111,AL_149,0.6026,0.0
AL_111,AL_146,0.6026,0.0
AL_111,AL_143,0.6026,0.0
AL_111,AL_140,0.6026,0.0
AL_80,AL_327,0.6026,0.0
AL_111,AL_116,0.6026,0.0
AL_111,AL_137,0.6026,0.0
AL_111,AL_155,0.6026,0.0
AL_111,AL_134,0.6026,0.0
AL_111,AL_131,0.6026,0.0
AL_111,AL_125,0.6026,0.0
AL_111,AL_128,0.6026,0.0
AL_79,AL_327,0.6025,0.0
AL_203,AL_213,0.6025,0.0
AL_211,AL_213,0.6025,0.0
AL_83,AL_188,0.6025,0.0
AL_230,AL_298,0.6025,0.0
AL_211,AL_264,0.6025,0.0
AL_240,AL_331,0.6024,0.0
AL_82,AL_299,0.6024,0.0
AL_200,AL_331,0.6024,0.0
AL_204,AL_331,0.6024,0.0
AL_115,AL_135,0.6024,0.0
AL_258,AL_275,0.6024,0.0
AL_269,AL_331,0.6024,0.0
AL_267,AL_331,0.6024,0.0
AL_65,AL_186,0.6024,0.0
AL_264,AL_279,0.6024,0.0
AL_264,AL_291,0.6024,0.0
AL_82,AL_312,0.6024,0.0
AL_81,AL_95,0.6024,0.0
AL_82,AL_320,0.6024,0.0
AL_82,AL_309,0.6024,0.0
AL_82,AL_303,0.6024,0.0
AL_227,AL_331,0.6024,0.0
AL_82,AL_332,0.6024,0.0
AL_82,AL_324,0.6024,0.0
AL_188,AL_218,0.6024,0.0
AL_82,AL_316,0.6024,0.0
AL_223,AL_251,0.6024,0.0
AL_82,AL_307,0.6024,0.0
AL_103,AL_266,0.6023,0.0
AL_207,AL_213,0.6023,0.0
AL_89,AL_181,0.6023,0.0
AL_209,AL_288,0.6023,0.0
AL_192,AL_271,0.6023,0.0
AL_121,AL_263,0.6022,0.0
AL_121,AL_256,0.6022,0.0
AL_121,AL_248,0.6022,0.0
AL_121,AL_233,0.6022,0.0
AL_121,AL_244,0.6022,0.0
AL_121,AL_236,0.6022,0.0
AL_121,AL_231,0.6022,0.0
AL_121,AL_195,0.6022,0.0
AL_121,AL_197,0.6022,0.0
AL_121,AL_220,0.6022,0.0
AL_121,AL_212,0.6022,0.0
AL_121,AL_208,0.6022,0.0
AL_121,AL_276,0.6022,0.0
AL_121,AL_272,0.6022,0.0
AL_121,AL_284,0.6022,0.0
AL_121,AL_280,0.6022,0.0
AL_121,AL_292,0.6022,0.0
AL_121,AL_191,0.6022,0.0
AL_289,AL_292,0.6021,0.0
AL_263,AL_289,0.6021,0.0
AL_244,AL_289,0.6021,0.0
AL_257,AL_271,0.6021,0.0
AL_236,AL_289,0.6021,0.0
AL_233,AL_289,0.6021,0.0
AL_231,AL_289,0.6021,0.0
AL_191,AL_289,0.6021,0.0
AL_195,AL_289,0.6021,0.0
AL_208,AL_289,0.6021,0.0
AL_197,AL_289,0.6021,0.0
AL_272,AL_289,0.6021,0.0
AL_188,AL_257,0.6021,0.0
AL_220,AL_289,0.6021,0.0
AL_248,AL_289,0.6021,0.0
AL_284,AL_289,0.6021,0.0
AL_276,AL_289,0.6021,0.0
AL_268,AL_287,0.6021,0.0
AL_212,AL_289,0.6021,0.0
AL_256,AL_289,0.6021,0.0
AL_280,AL_289,0.6021,0.0
AL_253,AL_275,0.602,0.0
AL_251,AL_316,0.602,0.0
AL_251,AL_320,0.602,0.0
AL_226,AL_258,0.602,0.0
AL_251,AL_312,0.602,0.0
AL_251,AL_309,0.602,0.0
AL_251,AL_303,0.602,0.0
AL_251,AL_324,0.602,0.0
AL_251,AL_307,0.602,0.0
AL_202,AL_288,0.602,0.0
AL_251,AL_332,0.602,0.0
AL_83,AL_266,0.602,0.0
AL_92,AL_215,0.602,0.0
AL_251,AL_299,0.602,0.0
AL_223,AL_252,0.6019,0.0
AL_145,AL_197,0.6018,0.0
AL_145,AL_248,0.6018,0.0
AL_121,AL_269,0.6018,0.0
AL_145,AL_191,0.6018,0.0
AL_121,AL_267,0.6018,0.0
AL_121,AL_240,0.6018,0.0
AL_121,AL_200,0.6018,0.0
AL_192,AL_203,0.6018,0.0
AL_121,AL_227,0.6018,0.0
AL_145,AL_195,0.6018,0.0
AL_145,AL_280,0.6018,0.0
AL_145,AL_256,0.6018,0.0
AL_145,AL_284,0.6018,0.0
AL_145,AL_292,0.6018,0.0
AL_121,AL_204,0.6018,0.0
AL_145,AL_244,0.6018,0.0
AL_145,AL_233,0.6018,0.0
AL_145,AL_236,0.6018,0.0
AL_194,AL_253,0.6018,0.0
AL_145,AL_220,0.6018,0.0
AL_145,AL_212,0.6018,0.0
AL_145,AL_276,0.6018,0.0
AL_145,AL_231,0.6018,0.0
AL_145,AL_263,0.6018,0.0
AL_145,AL_272,0.6018,0.0
AL_145,AL_208,0.6018,0.0
AL_77,AL_288,0.6017,0.0
AL_91,AL_296,0.6017,0.0
AL_16,AL_215,0.6016,0.0
AL_213,AL_291,0.6016,0.0
AL_192,AL_279,0.6015,0.0
AL_145,AL_267,0.6015,0.0
AL_257,AL_275,0.6015,0.0
AL_145,AL_200,0.6015,0.0
AL_145,AL_227,0.6015,0.0
AL_145,AL_204,0.6015,0.0
AL_145,AL_269,0.6015,0.0
AL_288,AL_294,0.6015,0.0
AL_145,AL_240,0.6015,0.0
AL_287,AL_294,0.6015,0.0
AL_258,AL_271,0.6014,0.0
AL_76,AL_324,0.6014,0.0
AL_76,AL_299,0.6014,0.0
AL_76,AL_303,0.6014,0.0
AL_76,AL_307,0.6014,0.0
AL_275,AL_281,0.6014,0.0
AL_76,AL_312,0.6014,0.0
AL_76,AL_309,0.6014,0.0
AL_77,AL_247,0.6014,0.0
AL_76,AL_320,0.6014,0.0
AL_76,AL_316,0.6014,0.0
AL_251,AL_294,0.6014,0.0
AL_88,AL_306,0.6014,0.0
AL_76,AL_332,0.6014,0.0
AL_92,AL_207,0.6013,0.0
AL_188,AL_289,0.6013,0.0
AL_218,AL_235,0.6013,0.0
AL_121,AL_287,0.6012,0.0
AL_75,AL_91,0.6012,0.0
AL_121,AL_260,0.6012,0.0
AL_230,AL_264,0.6012,0.0
AL_89,AL_157,0.6012,0.0
AL_89,AL_148,0.6012,0.0
AL_262,AL_298,0.6011,0.0
AL_31,AL_37,0.6011,0.0
AL_264,AL_283,0.6011,0.0
AL_94,AL_323,0.6011,0.0
AL_75,AL_82,0.6011,0.0
AL_79,AL_323,0.601,0.0
AL_232,AL_275,0.601,0.0
AL_224,AL_232,0.601,0.0
AL_89,AL_109,0.601,0.0
AL_92,AL_235,0.6009,0.0
AL_76,AL_296,0.6009,0.0
AL_252,AL_258,0.6008,0.0
AL_198,AL_288,0.6008,0.0
AL_103,AL_262,0.6008,0.0
AL_178,AL_271,0.6008,0.0
AL_200,AL_289,0.6007,0.0
AL_264,AL_266,0.6007,0.0
AL_267,AL_289,0.6007,0.0
AL_269,AL_289,0.6007,0.0
AL_255,AL_289,0.6007,0.0
AL_89,AL_175,0.6007,0.0
AL_77,AL_230,0.6007,0.0
AL_266,AL_298,0.6007,0.0
AL_103,AL_252,0.6007,0.0
AL_240,AL_289,0.6007,0.0
AL_204,AL_289,0.6007,0.0
AL_227,AL_289,0.6007,0.0
AL_124,AL_251,0.6006,0.0
AL_211,AL_257,0.6006,0.0
AL_166,AL_251,0.6006,0.0
AL_80,AL_215,0.6005,0.0
AL_103,AL_184,0.6005,0.0
AL_232,AL_266,0.6005,0.0
AL_85,AL_307,0.6004,0.0
AL_85,AL_316,0.6004,0.0
AL_85,AL_312,0.6004,0.0
AL_131,AL_252,0.6004,0.0
AL_85,AL_299,0.6004,0.0
AL_134,AL_252,0.6004,0.0
AL_119,AL_252,0.6004,0.0
AL_158,AL_252,0.6004,0.0
AL_140,AL_252,0.6004,0.0
AL_116,AL_252,0.6004,0.0
AL_85,AL_332,0.6004,0.0
AL_85,AL_309,0.6004,0.0
AL_110,AL_252,0.6004,0.0
AL_170,AL_252,0.6004,0.0
AL_88,AL_332,0.6004,0.0
AL_88,AL_324,0.6004,0.0
AL_85,AL_324,0.6004,0.0
AL_224,AL_289,0.6004,0.0
AL_173,AL_252,0.6004,0.0
AL_88,AL_303,0.6004,0.0
AL_88,AL_299,0.6004,0.0
AL_103,AL_224,0.6004,0.0
AL_155,AL_252,0.6004,0.0
AL_85,AL_320,0.6004,0.0
AL_137,AL_252,0.6004,0.0
AL_85,AL_303,0.6004,0.0
AL_88,AL_307,0.6004,0.0
AL_152,AL_252,0.6004,0.0
AL_88,AL_309,0.6004,0.0
AL_88,AL_312,0.6004,0.0
AL_104,AL_252,0.6004,0.0
AL_167,AL_252,0.6004,0.0
AL_88,AL_320,0.6004,0.0
AL_88,AL_316,0.6004,0.0
AL_76,AL_216,0.6004,0.0
AL_146,AL_252,0.6004,0.0
AL_143,AL_252,0.6004,0.0
AL_232,AL_247,0.6004,0.0
AL_125,AL_252,0.6004,0.0
AL_179,AL_252,0.6004,0.0
AL_164,AL_252,0.6004,0.0
AL_128,AL_252,0.6004,0.0
AL_149,AL_252,0.6004,0.0
AL_182,AL_252,0.6004,0.0
AL_101,AL_252,0.6004,0.0
AL_161,AL_252,0.6004,0.0
AL_113,AL_252,0.6004,0.0
AL_176,AL_252,0.6004,0.0
AL_122,AL_252,0.6004,0.0
AL_107,AL_252,0.6004,0.0
AL_251,AL_270,0.6003,0.0
AL_103,AL_247,0.6003,0.0
AL_253,AL_288,0.6003,0.0
AL_258,AL_291,0.6003,0.0
AL_91,AL_306,0.6003,0.0
AL_172,AL_251,0.6003,0.0
AL_172,AL_260,0.6002,0.0
AL_190,AL_277,0.6002,0.0
AL_172,AL_208,0.6001,0.0
AL_172,AL_212,0.6001,0.0
AL_172,AL_197,0.6001,0.0
AL_172,AL_272,0.6001,0.0
AL_213,AL_260,0.6001,0.0
AL_172,AL_263,0.6001,0.0
AL_172,AL_256,0.6001,0.0
AL_172,AL_220,0.6001,0.0
AL_172,AL_231,0.6001,0.0
AL_172,AL_233,0.6001,0.0
AL_172,AL_248,0.6001,0.0
AL_266,AL_277,0.6001,0.0
AL_172,AL_236,0.6001,0.0
AL_172,AL_195,0.6001,0.0
AL_172,AL_191,0.6001,0.0
AL_172,AL_280,0.6001,0.0
AL_172,AL_244,0.6001,0.0
AL_172,AL_276,0.6001,0.0
AL_172,AL_284,0.6001,0.0
AL_172,AL_292,0.6001,0.0
AL_102,AL_158,0.6,0.0
AL_102,AL_176,0.6,0.0
AL_102,AL_116,0.6,0.0
AL_102,AL_167,0.6,0.0
AL_102,AL_113,0.6,0.0
AL_102,AL_173,0.6,0.0
AL_102,AL_104,0.6,0.0
AL_102,AL_170,0.6,0.0
AL_102,AL_146,0.6,0.0
AL_102,AL_137,0.6,0.0
AL_121,AL_262,0.6,0.0
AL_102,AL_149,0.6,0.0
AL_271,AL_298,0.6,0.0
AL_102,AL_152,0.6,0.0
AL_102,AL_155,0.6,0.0
AL_102,AL_164,0.6,0.0
AL_77,AL_283,0.6,0.0
AL_102,AL_161,0.6,0.0
AL_102,AL_110,0.6,0.0
AL_102,AL_182,0.6,0.0
AL_102,AL_143,0.6,0.0
AL_102,AL_131,0.6,0.0
AL_82,AL_306,0.6,0.0
AL_102,AL_107,0.6,0.0
AL_102,AL_125,0.6,0.0
AL_102,AL_119,0.6,0.0
AL_102,AL_128,0.6,0.0
AL_101,AL_102,0.6,0.0
AL_102,AL_134,0.6,0.0
AL_102,AL_179,0.6,0.0
AL_102,AL_140,0.6,0.0
AL_223,AL_279,0.6,0.0
AL_102,AL_122,0.6,0.0
AL_124,AL_262,0.5999,0.0
AL_124,AL_226,0.5999,0.0
AL_229,AL_252,0.5999,0.0
AL_284,AL_323,0.5999,0.0
AL_212,AL_323,0.5999,0.0
AL_199,AL_242,0.5999,0.0
AL_244,AL_323,0.5999,0.0
AL_276,AL_323,0.5999,0.0
AL_233,AL_323,0.5999,0.0
AL_220,AL_323,0.5999,0.0
AL_272,AL_323,0.5999,0.0
AL_231,AL_323,0.5999,0.0
AL_145,AL_266,0.5999,0.0
AL_256,AL_323,0.5999,0.0
AL_236,AL_323,0.5999,0.0
AL_280,AL_323,0.5999,0.0
AL_208,AL_323,0.5999,0.0
AL_292,AL_323,0.5999,0.0
AL_197,AL_323,0.5999,0.0
AL_191,AL_323,0.5999,0.0
AL_248,AL_323,0.5999,0.0
AL_195,AL_323,0.5999,0.0
AL_263,AL_323,0.5999,0.0
AL_7,AL_296,0.5998,0.0
AL_89,AL_127,0.5998,0.0
AL_172,AL_252,0.5997,0.0
AL_252,AL_281,0.5997,0.0
AL_181,AL_184,0.5997,0.0
AL_77,AL_243,0.5996,0.0
AL_213,AL_275,0.5996,0.0
AL_192,AL_194,0.5996,0.0
AL_86,AL_89,0.5996,0.0
AL_91,AL_309,0.5995,0.0
AL_82,AL_96,0.5995,0.0
AL_287,AL_293,0.5995,0.0
AL_91,AL_307,0.5995,0.0
AL_172,AL_240,0.5995,0.0
AL_91,AL_303,0.5995,0.0
AL_172,AL_204,0.5995,0.0
AL_172,AL_200,0.5995,0.0
AL_172,AL_269,0.5995,0.0
AL_91,AL_316,0.5995,0.0
AL_172,AL_267,0.5995,0.0
AL_172,AL_227,0.5995,0.0
AL_91,AL_312,0.5995,0.0
AL_91,AL_320,0.5995,0.0
AL_91,AL_299,0.5995,0.0
AL_91,AL_324,0.5995,0.0
AL_91,AL_332,0.5995,0.0
AL_219,AL_273,0.5995,0.0
AL_124,AL_195,0.5994,0.0
AL_145,AL_247,0.5994,0.0
AL_89,AL_98,0.5994,0.0
AL_124,AL_256,0.5994,0.0
AL_124,AL_280,0.5994,0.0
AL_124,AL_220,0.5994,0.0
AL_124,AL_248,0.5994,0.0
AL_124,AL_284,0.5994,0.0
AL_124,AL_292,0.5994,0.0
AL_124,AL_276,0.5994,0.0
AL_124,AL_263,0.5994,0.0
AL_124,AL_272,0.5994,0.0
AL_124,AL_244,0.5994,0.0
AL_271,AL_273,0.5994,0.0
AL_124,AL_231,0.5994,0.0
AL_124,AL_191,0.5994,0.0
AL_124,AL_197,0.5994,0.0
AL_124,AL_233,0.5994,0.0
AL_239,AL_273,0.5994,0.0
AL_124,AL_212,0.5994,0.0
AL_205,AL_288,0.5994,0.0
AL_124,AL_236,0.5994,0.0
AL_124,AL_208,0.5994,0.0
AL_232,AL_283,0.5993,0.0
AL_92,AL_291,0.5993,0.0
AL_207,AL_253,0.5993,0.0
AL_200,AL_323,0.5992,0.0
AL_249,AL_251,0.5992,0.0
AL_267,AL_323,0.5992,0.0
AL_269,AL_323,0.5992,0.0
AL_227,AL_323,0.5992,0.0
AL_240,AL_323,0.5992,0.0
AL_83,AL_283,0.5992,0.0
AL_209,AL_251,0.5992,0.0
AL_82,AL_327,0.5992,0.0
AL_204,AL_323,0.5992,0.0
AL_255,AL_273,0.5991,0.0
AL_83,AL_262,0.5991,0.0
AL_190,AL_264,0.599,0.0
AL_77,AL_190,0.599,0.0
AL_190,AL_213,0.599,0.0
AL_103,AL_211,0.599,0.0
AL_88,AL_323,0.5989,0.0
AL_246,AL_288,0.5989,0.0
AL_232,AL_288,0.5989,0.0
AL_251,AL_277,0.5989,0.0
AL_199,AL_238,0.5989,0.0
AL_178,AL_239,0.5989,0.0
AL_89,AL_100,0.5989,0.0
AL_124,AL_267,0.5988,0.0
AL_124,AL_200,0.5988,0.0
AL_121,AL_288,0.5988,0.0
AL_124,AL_240,0.5988,0.0
AL_85,AL_215,0.5988,0.0
AL_192,AL_266,0.5988,0.0
AL_124,AL_227,0.5988,0.0
AL_247,AL_253,0.5988,0.0
AL_83,AL_194,0.5988,0.0
AL_124,AL_269,0.5988,0.0
AL_166,AL_287,0.5988,0.0
AL_198,AL_287,0.5988,0.0
AL_124,AL_204,0.5988,0.0
AL_124,AL_260,0.5987,0.0
AL_103,AL_188,0.5987,0.0
AL_121,AL_247,0.5987,0.0
AL_291,AL_331,0.5987,0.0
AL_203,AL_258,0.5987,0.0
AL_123,AL_146,0.5986,0.0
AL_123,AL_161,0.5986,0.0
AL_104,AL_123,0.5986,0.0
AL_123,AL_158,0.5986,0.0
AL_123,AL_149,0.5986,0.0
AL_123,AL_152,0.5986,0.0
AL_110,AL_123,0.5986,0.0
AL_123,AL_143,0.5986,0.0
AL_123,AL_167,0.5986,0.0
AL_123,AL_164,0.5986,0.0
AL_123,AL_131,0.5986,0.0
AL_123,AL_140,0.5986,0.0
AL_201,AL_288,0.5986,0.0
AL_119,AL_123,0.5986,0.0
AL_122,AL_123,0.5986,0.0
AL_123,AL_173,0.5986,0.0
AL_107,AL_123,0.5986,0.0
AL_123,AL_176,0.5986,0.0
AL_123,AL_179,0.5986,0.0
AL_123,AL_182,0.5986,0.0
AL_113,AL_123,0.5986,0.0
AL_123,AL_155,0.5986,0.0
AL_123,AL_128,0.5986,0.0
AL_123,AL_125,0.5986,0.0
AL_252,AL_289,0.5986,0.0
AL_123,AL_134,0.5986,0.0
AL_123,AL_137,0.5986,0.0
AL_116,AL_123,0.5986,0.0
AL_219,AL_331,0.5986,0.0
AL_123,AL_170,0.5986,0.0
AL_101,AL_123,0.5986,0.0
AL_188,AL_213,0.5985,0.0
AL_83,AL_230,0.5985,0.0
AL_88,AL_296,0.5985,0.0
AL_188,AL_253,0.5984,0.0
AL_103,AL_287,0.5984,0.0
AL_121,AL_252,0.5984,0.0
AL_121,AL_251,0.5984,0.0
AL_92,AL_199,0.5984,0.0
AL_80,AL_216,0.5983,0.0
AL_192,AL_235,0.5983,0.0
AL_224,AL_298,0.5983,0.0
AL_273,AL_279,0.5983,0.0
AL_255,AL_257,0.5983,0.0
AL_124,AL_252,0.5982,0.0
AL_253,AL_260,0.5982,0.0
AL_260,AL_289,0.598,0.0
AL_258,AL_279,0.598,0.0
AL_166,AL_260,0.598,0.0
AL_103,AL_235,0.598,0.0
AL_194,AL_201,0.598,0.0
AL_172,AL_247,0.598,0.0
AL_166,AL_220,0.5979,0.0
AL_124,AL_266,0.5979,0.0
AL_92,AL_275,0.5979,0.0
AL_166,AL_276,0.5979,0.0
AL_194,AL_232,0.5979,0.0
AL_166,AL_256,0.5979,0.0
